id,locale,source_url,local_route,priority,page_type,replica_requirement,status,notes
ZH-001,zh-CN,https://www.zh.xiangqi.com/,/,P0,home,"像素级复刻首页首屏、SEO长文、教学文章、FAQ、导航、页脚、移动端",confirmed,"在线对弈允许外跳 play.xiangqi.com"
ZH-002,zh-CN,https://www.zh.xiangqi.com/help/,/help/,P0,help-index,"复刻帮助入口、搜索/列表、帮助分组、页脚链接",confirmed,"简中帮助菜单含规则、棋子、第一盘、AI复盘、邀请、好友、人机、比赛、徽章、残局、下载、等级分"
ZH-003,zh-CN,https://www.zh.xiangqi.com/mobile/,/download/,P0,download,"复刻下载页视觉、APK/Google Play/App Store入口、说明与FAQ",confirmed,"真实下载链接允许保留"
ZH-004,zh-CN,https://www.zh.xiangqi.com/how-to-play-xiangqi/,/how-to-play-xiangqi/,P0,tutorial,"复刻长文、目录、锚点、作者/日期、图片、SEO",confirmed,"源站导航中的“如何下象棋”"
ZH-005,zh-CN,https://www.zh.xiangqi.com/how-to-play/,/how-to-play/,P0,tutorial,"复刻象棋规则、棋盘摆放、棋子走法、锚点与图文",confirmed,"FAQ内链指向"
ZH-006,zh-CN,https://www.zh.xiangqi.com/first-game/,/first-game/,P1,help-detail,"复刻开始第一盘对局教程、步骤、截图、内链",to-verify,"搜索确认存在繁中版本，简中需抓取确认"
ZH-007,zh-CN,https://www.zh.xiangqi.com/play-with-a-friend/,/play-with-a-friend/,P1,help-detail,"复刻好友对战教程、步骤、截图、业务外链",confirmed,"首页帮助下拉入口"
ZH-008,zh-CN,https://www.zh.xiangqi.com/how-to-create-puzzle/,/how-to-create-puzzle/,P1,help-detail,"复刻自定义残局教程、步骤、截图、业务外链",confirmed,"首页帮助下拉入口"
ZH-009,zh-CN,https://www.zh.xiangqi.com/tournament/,/tournament/,P1,help-detail,"复刻比赛介绍、报名/签到流程、截图与FAQ",confirmed,"首页帮助下拉入口"
ZH-010,zh-CN,https://www.zh.xiangqi.com/invite/,/invite/,P1,help-detail,"复刻邀请好友教程、步骤、截图",confirmed,"前期已发现"
ZH-011,zh-CN,https://www.zh.xiangqi.com/help/markers.html,/help/markers/,P1,help-detail,"复刻棋盘标记/箭头教程、步骤、截图",confirmed,"简中旧式 html 路径"
ZH-012,zh-CN,https://www.zh.xiangqi.com/rating/,/rating/,P1,help-detail,"复刻等级分系统说明、公式、相关帮助链接",to-verify,"繁中和越南语已发现相近页面"
ZH-013,zh-CN,https://www.zh.xiangqi.com/support-home/,/support-home/,P1,help-index,"复刻帮助搜索页、搜索框、帮助项目列表",to-verify,"英语和繁中搜索结果确认相同类型页面"
ZH-014,zh-CN,https://www.zh.xiangqi.com/articles/,/articles/,P1,article-list,"复刻教学文章列表、更多入口、分页/卡片交互",to-verify,"首页“教学文章/更多”入口"
ZH-015,zh-CN,https://www.zh.xiangqi.com/articles/import-game-notation/,/sys-nd/23.html,P1,article-detail,"复刻棋谱导入格式说明文章详情",to-verify,"首页已暴露文章标题，slug需抓取确认"
ZH-016,zh-CN,https://www.zh.xiangqi.com/sys-nd/22.html,/sys-nd/22.html,P1,article-detail,"复刻产品更新文章详情",to-verify,"首页已暴露文章标题，slug需抓取确认"
ZH-017,zh-CN,https://www.zh.xiangqi.com/sys-nd/20.html,/sys-nd/20.html,P1,article-detail,"复刻新界面文章详情",to-verify,"首页已暴露文章标题，slug需抓取确认"
TCN-001,zh-Hant,https://www.zh.xiangqi.com/tcn/,/tcn/,P0,home,"按简中同标准复刻繁中首页、首屏、SEO、教学文章、FAQ、移动端",confirmed,"不是简中翻译占位页"
TCN-002,zh-Hant,https://www.zh.xiangqi.com/tcn/support-home/,/tcn/support-home/,P0,help-index,"复刻繁中帮助搜索/帮助列表页面",confirmed,"搜索结果已确认"
TCN-003,zh-Hant,https://www.zh.xiangqi.com/tcn/first-game/,/tcn/first-game/,P1,help-detail,"复刻繁中第一盘对局教程",confirmed,"搜索结果已确认"
TCN-004,zh-Hant,https://www.zh.xiangqi.com/tcn/tournament/,/tcn/tournament/,P1,help-detail,"复刻繁中比赛教程",confirmed,"搜索结果已确认"
